12	0	0
11.96052	0.00444	0
11.84412	0.01944	0
11.65596	0.0474	0
11.40216	0.08916	0
11.08956	0.1434	0
10.72464	0.20736	0
10.31316	0.27756	0
9.86028	0.35028	0
9.37008	0.42228	0
8.8464	0.49164	0
8.29404	0.55764	0
7.71912	0.61956	0
7.12824	0.6762	0
6.52788	0.72624	0
5.92452	0.76848	0
5.3244	0.8016	0
4.73376	0.82452	0
4.15872	0.83628	0
3.6048	0.83592	0
3.07728	0.82296	0
2.58108	0.79692	0
2.1204	0.75744	0
1.69884	0.705	0
1.31952	0.64008	0
0.9852	0.56388	0
0.69768	0.47796	0
0.45852	0.38436	0
0.26844	0.28596	0
0.12816	0.18696	0
0.03864	0.09156	0
0.00036	0.00732	0
0.02592	-0.05904	0
0.12192	-0.11376	0
0.28164	-0.16248	0
0.50376	-0.20328	0
0.78588	-0.23544	0
1.12596	-0.25872	0
1.52112	-0.27348	0
1.96764	-0.28044	0
2.46096	-0.28056	0
2.99544	-0.27468	0
3.5652	-0.26328	0
4.164	-0.24708	0
4.78524	-0.22692	0
5.42196	-0.20352	0
6.06708	-0.1776	0
6.7134	-0.15	0
7.35372	-0.1218	0
7.9806	-0.09396	0
8.58684	-0.06768	0
9.16512	-0.04392	0
9.708	-0.02412	0
10.20816	-0.00864	0
10.6584	0.00204	0
11.05248	0.00828	0
11.38452	0.01044	0
11.64948	0.00912	0
11.84268	0.00564	0
11.96052	0.0018	0
12.00012	0	0
